acceptera accepterar accepterade accepterat
oroa oroar oroade oroat
packa packar packade packat
panta pantar pantade pantat
passa passar passade passat
peka pekar pekade pekat
planera planerar planerade planerat
plugga pluggar pluggade pluggat
posta postar postade postat
praktisera praktiserar praktiserade praktiserat
prata pratar pratade pratat
prova provar provade provat
påverka påverkar påverkade påverkat
rada radar radade radat
raka rakar rakade rakat
ramla ramlar ramlade ramlat
rannsaka rannsakar rannsakade rannsakat
rapportera rapporterar rapporterade rapporterat
reda reder redde rett
redogöra redogör redogjorde redogjort
reflektera reflekterar reflekterade reflekterat
regna regnar regnade regnat
rensa rensar rensade rensat
reparera reparerade reparerade reparerat
repetera repeterar repeterade repeterat
resa reser reste rest
rimma rimmar rimmade rimmat
ringa ringer ringde ringt
rita ritar ritade ritat
ropa ropar ropade ropat
rulla rullar rullade rullat
rycka rycker ryckte ryckt
råka råkar råkade råkat
rädda räddar räddade räddat
räkna räknar räknade räknat
räta rätar rätade rätat
rätta rättar rättade rättat
röka röker rökte rökt
röntga röntgar röntgade röntgat
röra rör rörde rört
rösta röstar röstade röstat
sakna saknar saknade saknat
samarbeta samarbetade samarbetat
samla samlar samlade samlat
sammanstråla sammanstrålar sammanstrålade sammanstrålat
sammanställa sammanställer sammanställde sammanställt
sanera sanerar sanerade sanerat
sansa sansar sansade sansat
satsa satsar satsade satsat
se ser såg sett
simma simmar simmade simmat
sitta sitter satt suttit
sjuda sjuder sjöd sjudit
sjunga sjunger sjöng sjungit
skada skadar skadade skadat
skaka skakar skakade skakat
skallra skallrar skallrade skallrat
skala skalar skalade skalat
skicka skickar skickade skickat
skilja skiljer skilde skilt
skina skiner sken skinit
skjuta skjuter sköt skjutit
skoja skojar skojade skojat
skola ska skulle skolat
skratta skrattar skrattade skrattat
skrika skriker skrek skrikit
skriva skriver skrev skrivit
skydda skyddar skyddade skyddat
skynda skyndar skyndade skyndat
skölja sköljer sköljde sköljt
sköta sköter skötte skött
skämma skämmer skämde skämt
smaksätta smaksätter smaksatte smaksatt
spela spelar spelade spelat
slippa slipper slapp sluppit
slopa slopar slopade slopat
sluta slutar slutade slutat
slå slår slog slagit
släcka släcker släckte släckt
slösa slösar slösade slösat
smaka smakar smakade smakat
smickra smickrar smickrade smickrat
smila smilar smilade smilat
smitta smittar smittade smittat
snöa snöar snöade snöat
socka suckar suckade suckat
sockra sockrar sockrade sockrat
sopa sopar sopade sopat
sota sotar sotade sotat
sova sover sov sovit
spara sparar sparade sparat
spela spelar spelade spelat
spinna spinner spann spunnit
sprida sprider spred spritt
springa springer sprang sprungit
stanna stannar stannade stannat
stappla stapplar stapplade stapplat
stapla staplar staplade staplat
starta startar startade startat
stava stavar stavade stavat
sticka sticker stack stuckit
stiga stiger steg stigit
stjäla stjäler stal stulit
stoppa stoppar stoppade stoppat
storkna storknar storknade storknat
storma stormar stormade stormat
strunta struntar struntade struntat
stråla strålar strålade strålat
studera studerar studerade studerat
stå står stod stått
stämma stämmer stämde stämt
städa städar städade städat
stänga stänger stängde stängt
stödja stödjer stödde stött
störa stör störde stört
svara svarar svarade svarat
svetta svettar svettade svettat
svära svär svir svurit
supa super söp supit
susa susar susade susat
svimma svimmar svimmade svimmat
svälja sväljer svalde svalt
sy syr sydde sytt
symbolisera symboliserade symboliserade symboliserat
synda syndar syndade syndat
synas syns syntes synts
syna synar synade synat
så sår sådde sått
såga sågar sågade sågat
säga säger sa sagt
säkra säkrar säkrade säkrat
sälja säljer sålde sålt
sära särar särade särat
sätta sätter satte satt
sälja säljer sålde sålt
söka söker sökte sökt
söla sölar sölade sölat
söva söver sövde sövt
ta tar tog tagit
tacka tackar tackade tackat
tackla tacklar tacklade tacklat
tala talar talade talat
tanka tankar tankade tankat
tappa tappar tappade tappat
tiga tiger teg tigit
tillreda tillreder tillredde tillrett
tillsätta tillsätter tillsatte tillsatt
tillåta tillåter tillät tillåtit
titta tittar tittade tittat
tjafsa tjafsar tjafsade tjafsat
tjata tjatar tjatade tjatat
tjäna tjänar tjänade tjänat
tolka tolkar tolkade tolkat
torka torkar torkade torkat
trampa trampar trampade trampat
triva ttiver trivde trivt
tro tror trodde trott
trycka trycker tryckte tryckt
träffa träffar träffade träffat
träna tränar tränade tränat
